elite_account,pf_score,elite_id_str,falsity
jimsteineke,0.333,33801008,0.333
JayHottinger,0.3,1330714418,0.3
OFA,0.3,1098310873037316096,0.3
OFA,0.3,1098310873037316096,0.3
OFA,0.625,1098310873037316096,0.625
OFA,0.625,1098310873037316096,0.625
DrJillStein,0.3,111216929,0.3
RepTiffany,0.3,1267841066335682560,0.3
RealJamesWoods,0.3,78523300,0.3
ellynbogdanoff,0.25,42061954,0.25
BruceBraley,0.25,29293808,0.25
JohnDelaney,0.25,426028646,0.25
GeorgiaDemocrat,0.25,74568060,0.25
FriedmanKinky,0.25,1271382870729211904,0.25
Franklin_Graham,0.25,44945327,0.25
JeffJacksonNC,0.25,124820305,0.25
RepRonKlein,0.25,150688795,0.25
MayorLevine,0.25,1281274039,0.25
MarinoPA10,0.25,2831788290,0.25
RepJimMcDermott,0.25,132201224,0.25
MarkMeadows,0.25,963480595,0.25
StephenMoore,0.25,2304017702,0.25
JohnMorganESQ,0.25,223223376,0.25
RepGregMurphy,0.25,1173978070535024640,0.25
travisrowley,0.25,157526077,0.25
GovMattBevin,0.217,3141213592,0.217
StaceyCampfield,0.217,479665871,0.217
Kathleen_Ford,0.217,21425074,0.217
SheriGalloD10,0.217,2578682947,0.217
claudiatenney,0.217,756285384,0.217
RealJTP,0.217,30865013,0.217
JoinScott,0.167,100549229,0.167
FloridaEA,0.167,21102126,0.167
RepTomGarrett,0.167,818460870573441024,0.167
KimGuadagnoNJ,0.167,3025266412,0.167
HCAN,0.167,16674443,0.167
JacksonLeeTX18,0.167,80612021,0.167
RepBillJohnson,0.167,211530910,0.167
SheriffSJones,0.167,4253672233,0.167
JudicialWatch,0.167,18247062,0.167
VotePaulJunge,0.167,1194792199004868608,0.167
KeanForCongress,0.167,1093918214181060608,0.167
RIDemChair,0.167,2821304014,0.167
JimPatterson559,0.167,489087014,0.167
tomperriello,0.167,14384907,0.167
ralphreed,0.167,18994290,0.167
RepShankland,0.167,1342952312,0.167
60PlusAssoc,0.133,94197072,0.133
DrDavidAlameel,0.133,2279206304,0.133
AFPFlorida,0.133,146250466,0.133
RepLoisFrankel,0.133,1077121945,0.133
FreedomPartners,0.133,90252949,0.133
larrypratt,0.133,18206234,0.133
restorationpac,0.133,1571124337,0.133
RepRibble,0.133,234053893,0.133
JeffTittel,0.133,1356715409806938112,0.133
SenatorJKruse,0.1,302181465,0.1
adler_shelley,0.083,1352351501562343424,0.083
PaulBegala,0.083,352548417,0.083
JohnStemberger,0.083,65309560,0.083
DonBlankenship,0.05,48762458,0.05
GretchenCarlson,0.05,1487846678,0.05
BillCassidy,0.05,55677432,0.05
MJGardinerLaw,0.05,88497498,0.05
KatiePavlich,0.05,48459553,0.05
DanaPerino,0.05,27311044,0.05
DineshDSouza,0.05,91882544,0.05
MattForMontana,0.017,1376252790,0.017
DarrellIssa,0.0,22509548,0.0
ElectBergmann,-0.033,93303821,-0.033
RepBerman,-0.033,158786493,-0.033
SteveDoocy,-0.033,22055109,-0.033
RobertGMarshall,-0.033,19859403,-0.033
RonRamsey,-0.033,16425672,-0.033
VictoriaTaft,-0.033,22049571,-0.033
Pat_Boone,-0.067,16690003,-0.067
SebGorka,-0.067,2417586104,-0.067
SykesCharlie,-0.067,95463107,-0.067
worldnetdaily,-0.067,43969372,-0.067
ElectLinda,1.0,110520018,1.0
wildlifeaction,1.0,22819917,1.0
RepDaveJoyce,1.0,976969338,1.0
jonkarl,1.0,15931637,1.0
RepMaloney,1.0,258900199,1.0
AP,1.0,51241574,1.0
gssasse,1.0,1015781995,1.0
georgevoinovich,1.0,454953162,1.0
APIenergy,0.875,15646547,0.875
repamstutz,0.875,55987310,0.875
Banstetter,0.875,48754554,0.875
bobbarr,0.875,14295496,0.875
BGTX,0.875,1198663765,0.875
FullFrontalSamB,0.875,3420477195,0.875
TeamBettencourt,0.875,2864015602,0.875
wolfblitzer,0.875,71294756,0.875
RandolphBracy,0.875,348483866,0.875
ianbremmer,0.875,60783724,0.875
CDCgov,0.875,146569971,0.875
jay_chaudhuri,0.875,484121225,0.875
henrygcisneros,0.875,906244394600235008,0.875
cupvf,0.875,1048227460729491456,0.875
DrJamesCDobson,0.875,113527917,0.875
RanaForoohar,0.875,468823008,0.875
friasforrep,0.875,745680541253570560,0.875
FultonHealth,0.875,80875046,0.875
GeorgiaLottery,0.875,117619738,0.875
GabbyGiffords,0.875,44177383,0.875
nflcommish,0.875,34104616,0.875
mjhegar,0.875,3021460584,0.875
RepSteveIsrael,0.875,20002401,0.875
JacksonforNC,0.875,114338937,0.875
ArtheniaJoyner,0.875,3003470032,0.875
JohnKingCNN,0.875,30043495,0.875
SethMagaziner,0.875,1434052620,0.875
RepSeanMaloney,0.875,1072467470,0.875
TimMcGinty,0.875,399064249,0.875
DMiliband,0.875,75896448,0.875
matthewamiller,0.875,55948054,0.875
BeeMoorhead,0.875,19628884,0.875
MichaelJMorell,0.875,1966814653,0.875
NAACP,0.875,44988185,0.875
RepScottPeters,0.875,1135486501,0.875
porterforga,0.875,35579309,0.875
ProgressOhio,0.875,15447566,0.875
KevinRader,0.875,93695769,0.875
LarrySabato,0.875,21313053,0.875
RobertSarvisVA,0.875,293283129,0.875
davidsimpsontx,0.875,106743376,0.875
brettsmiley,0.875,76130108,0.875
neeratanden,0.875,125453969,0.875
TFFVA,0.875,18147727,0.875
JusticeWillett,0.875,82687751,0.875
SenBlumenthal,0.75,278124059,0.75
RepJohnBoccieri,0.75,4878450075,0.75
CCCasagrande1,0.75,23111763,0.75
USRepKCastor,0.75,1880674038,0.75
JoeCrowleyNY,0.75,111635980,0.75
secupp,0.75,19268706,0.75
jdbalart,0.75,49733381,0.75
CarlosGSmith,0.75,32313637,0.75
SupJaniceHahn,0.75,339852137,0.75
chrislhayes,0.75,4207961,0.75
CarlHeastie,0.75,383566622,0.75
marycjordan,0.75,46122873,0.75
SwampyLatvala,0.75,898239525431934976,0.75
RepBarbaraLee,0.75,248735463,0.75
LogCabinGOP,0.75,36588739,0.75
LopezCantera,0.75,166401351,0.75
desmondmeade,0.75,156612878,0.75
RepCarolMiller,0.75,1081318716573470720,0.75
RobbyMook,0.75,3153892631,0.75
PattyMurray,0.75,293131808,0.75
mmo_mary,0.75,989172318,0.75
jpaceDC,0.75,28181835,0.75
AllenPeake,0.75,28417875,0.75
SteveRattner,0.75,401625957,0.75
RJC,0.75,39510422,0.75
KimReynoldsIA,0.75,31591773,0.75
RightToRiseNUSA,0.75,770010151281647616,0.75
Eugene_Robinson,0.75,59031230,0.75
hilaryr,0.75,15097615,0.75
RosLehtinen,0.75,14275291,0.75
chiproytx,0.75,1257667158,0.75
PaulASarlo,0.75,82900695,0.75
SarahKSilverman,0.75,30364057,0.75
taylorswift13,0.75,17919972,0.75
MarkUdall,0.75,8128442,0.75
GovCTW,0.75,45009355,0.75
DrGiroir,0.75,1299856260,0.75
AFSCME,0.625,14240875,0.625
AFSCME,0.625,14240875,0.625
AFSCME,0.386,14240875,0.386
AFSCME,0.386,14240875,0.386
clayaiken,0.625,45924487,0.625
austintexasgov,0.625,40994985,0.625
GeorgeLBarker,0.625,425427122,0.625
SenJohnBarrasso,0.625,202206694,0.625
OregonGovBrown,0.625,3023272478,0.625
EricBurlison,0.625,17993908,0.625
cmoneywatch,0.625,201723456,0.625
RIGovernor,0.625,107195011,0.625
SteveCrisafulli,0.625,939819919,0.625
KikiCurls,0.625,30384520,0.625
RepDianaDeGette,0.625,28599820,0.625
RepTedDeutch,0.625,137794015,0.625
ShaunDonovanNYC,0.625,821440539367272448,0.625
timechols,0.625,15926176,0.625
teresa_fedor,0.625,2165364858,0.625
fightfortheftr,0.625,382376904,0.625
RepFletcher,0.625,1075904377221722112,0.625
Francis4Raleigh,0.625,877064289294589952,0.625
nicolergalloway,0.625,281633898,0.625
RepGarrett,0.625,960696949,0.625
JennetteGayer,0.625,250698326,0.625
charliegeren,0.625,356903515,0.625
Giannoulias,0.625,71360328,0.625
rulajebreal,0.625,340418291,0.625
dankaufman70,0.625,3315961727,0.625
Kip_Kendrick,0.625,2198551928,0.625
ChrisKingFL,0.625,837409894294749184,0.625
SenatorKnopp,0.625,524643400,0.625
SenMikeLee,0.625,88784440,0.625
LIBREinitiative,0.625,310424310,0.625
RichLowry,0.625,40116885,0.625
GovMalloyOffice,0.625,234141596,0.625
ChadMayes,0.625,1332046980,0.625
jess_mc,0.625,18586983,0.625
RepMullin,0.625,1060370282,0.625
RepJerryNadler,0.625,40302336,0.625
joenegronfl,0.625,38778628,0.625
NumbersUSA,0.625,19563355,0.625
DevalPatrick,0.625,61636488,0.625
DavidForGeorgia,0.625,1527797431,0.625
AnitaPerryTX,0.625,24724263,0.625
watchdogwilliam,0.625,3537275296,0.625
johnpodesta,0.625,1071777608,0.625
congbillposey,0.625,25086658,0.625
RepDavidEPrice,0.625,155669457,0.625
crystal_quade,0.625,3188152800,0.625
EllenRosenblum,0.625,451639706,0.625
mattrothschild,0.625,14139600,0.625
MariaSachs,0.625,82972068,0.625
steveschale,0.625,20616741,0.625
RepSchneider,0.625,1071840474,0.625
JudgeScrenock,0.625,885191461758795776,0.625
CincySeitz,0.625,389189554,0.625
SenateDems,0.625,73238146,0.625
cody4mo,0.625,715623359631896576,0.625
SenTinaSmith,0.625,941000686275387392,0.625
RepSpanberger,0.625,1078771401497161728,0.625
GeneSperling46,0.625,1394017973480853504,0.625
SenStroebel,0.625,3195865372,0.625
ssurovell,0.625,16451101,0.625
dekalblikesmike,0.625,4892825752,0.625
NJSenTurner,0.625,146980282,0.625
LauraDTyson,0.625,329923532,0.625
Uber,0.625,19103481,0.625
ActionAidUK,0.625,14382779,0.625
Paulvallas,0.625,599742462,0.625
jimwaldman,0.625,19717169,0.625
MSF_USA,0.625,14755492,0.625
justinamash,0.5,233842454,0.5
RepBalderson,0.5,1037341536592310272,0.5
RepBeatty,0.5,1531521632,0.5
JonBramnick,0.5,23365981,0.5
CorrineBrownCon,0.5,3939631775,0.5
GovernorBullock,0.5,111721601,0.5
CarstarphenMJ,0.5,2453629610,0.5
CarterForTexas,0.5,367507393,0.5
UChivukulaNJ,0.5,564866637,0.5
LindaForNC,0.5,488560862,0.5
ConcernedVets,0.5,540122045,0.5
DoreenCostaRI,0.5,2360293130,0.5
mcuban,0.5,16228398,0.5
ItsInDeKalb,0.5,2338351370,0.5
RepValDemings,0.5,798973032362606592,0.5
DesJarlaisTN04,0.5,235312723,0.5
empowertexans,0.5,2980904372,0.5
JerryFalwellJr,0.5,31628934,0.5
FlaCathBps,0.5,385637502,0.5
NikkiFried,0.5,37190669,0.5
MarilindaGarcia,0.5,715059638,0.5
dangecker,0.5,60428007,0.5
davidgregory,0.5,20608910,0.5
kidservative,0.5,741335356197330944,0.5
RepEBJ,0.5,168502762,0.5
JasonKander,0.5,20744708,0.5
gary_kelly,0.5,3128022438,0.5
Koenig4MO,0.5,605754185,0.5
DanielKohl18,0.5,2889570262,0.5
ovidein2010,0.5,65360070,0.5
LesniakSenator,0.5,1038821264037695488,0.5
EvaLongoria,0.5,110827653,0.5
NitaLowey,0.5,221792092,0.5
KathyManningNC,0.5,936626346553413632,0.5
JoshMcKoon,0.5,15921327,0.5
cathymcmorris,0.5,17976923,0.5
SaraMeaney,0.5,15823044,0.5
AriMelber,0.5,15441965,0.5
MomsDemand,0.5,1017637447,0.5
NJSierraClub,0.5,237873737,0.5
ohiolife,0.5,31896742,0.5
stevenoroho,0.5,111073776,0.5
porszag,0.5,138799178,0.5
peta,0.5,9890492,0.5
GaryPeters,0.5,145292853,0.5
PresenteOrg,0.5,45744578,0.5
larrypressler,0.5,2389851715,0.5
donpridemore,0.5,140480873,0.5
rwbfund,0.5,436952359,0.5
TomRooney,0.5,23970171,0.5
RepAdamSchiff,0.5,29501253,0.5
HowardSchultz,0.5,807442387,0.5
amyschumer,0.5,55117855,0.5
peterschweizer,0.5,62876780,0.5
SecureAmerica,0.5,249368015,0.5
GlenSturtevant,0.5,613974907,0.5
UnitedForCare,0.5,24555965,0.5
Renee_Unterman,0.5,904103803,0.5
EmmaWatson,0.5,166739404,0.5
WISenateDems,0.5,3798787756,0.5
JDWootenNC,0.5,895590731150118912,0.5
DanaYoungFL,0.5,74282530,0.5
DebbieforFL,0.5,750046943905058816,0.5
BoyceforOhio,0.45,38659933,0.45
POTUS45,0.217,822215679726100480,0.217
SecretaryPerry,0.414,830128820447539200,0.414
SenSanders,0.559,29442313,0.559
SenRickScott,0.428,131546062,0.428
SenRubioPress,0.463,229966028,0.463
SenTedCruz,0.307,1074480192,0.307
RepCharlieCrist,0.535,816030424778543104,0.535
SenRonJohnson,0.483,233737858,0.483
GovAbbott,0.455,19291441,0.455
TeamBachmann,0.187,16446177,0.187
DrRandPaul,0.512,39834947,0.512
VP45,0.369,818910970567344128,0.369
tammybaldwin,0.525,87510313,0.525
TeamPelosi,0.399,2461810448,0.399
robportman,0.654,2612307559,0.654
RepDWStweets,0.473,1140648348,0.473
NRSC_Rapid,0.241,1359219252461502464,0.241
SherrodBrown,0.649,24768753,0.649
andrewcuomo,0.65,2513761008,0.65
ewarren,0.625,357606935,0.625
SenBooker,0.617,2167097881,0.617
MarkPocan,0.605,309070309,0.605
RealBenCarson,0.178,1180379185,0.178
MaddowBlog,0.461,91180720,0.461
SheldonforRI,0.71,770121222,0.71
GovEvers,0.316,234896532,0.316
GovRauner,0.309,2862555526,0.309
MarkWarnerVA,0.614,409719505,0.614
HomelandKen,0.325,1139166385966374912,0.325
Perduesenate,0.46,1397501864,0.46
SpeakerVos,0.445,991909225,0.445
SpeakerVos,0.445,991909225,0.445
LloydDoggettTX,0.711,170111219,0.711
McCaskillOffice,0.447,57065141,0.447
SenAmyKlobuchar,0.694,22044727,0.694
gillibrandny,0.578,899978622416695296,0.578
RepJimRenacci,0.383,236916916,0.383
GovRaimondo,0.656,240778059,0.656
NC_Governor,0.574,813792250497028096,0.574
GrothmanforWI,0.5,2432952828,0.5
GovRonDeSantis,0.435,1058807868,0.435
SenTomCotton,0.303,968650362,0.303
BobbyScott4VA3,0.641,319829219,0.641
JeffMerkley,0.733,223166587,0.733
SecretaryPete,0.517,1356958547603513344,0.517
Marcy_Kaptur,0.643,480872337,0.643
RoyBluntMO,0.564,389554914,0.564
SenatorIsakson,0.536,78403308,0.536
McCaulforTexas,0.712,743601590,0.712
JeanneShaheen,0.596,14125897,0.596
ClimateEnvoy,0.519,1351716580720316416,0.519
GovMikeDeWine,0.481,18820392,0.481
MayorRahm,0.385,306304686,0.385
PatToomey,0.385,26062385,0.385
GovPritzker,0.365,1084817523378454528,0.365
LouieGohmertTX1,0.054,4827594804,0.054
RepTimRyan,0.742,13491312,0.742
ReElectHank,0.583,97583689,0.583
Maggie_Hassan,0.542,361569788,0.542
PascrellforNJ,0.455,515736574,0.455
GOPLeader,0.273,19739126,0.273
mlfudge,0.6,18829123,0.6
AGPamBondi,0.55,20459404,0.55
SenatorBoxer,0.49,15442036,0.49
MarshaBlackburn,0.325,278145569,0.325
RepMattGaetz,0.3,818948638890217472,0.3
SenKooyenga,0.472,788390732889526272,0.472
KySecofState,0.417,17871144,0.417
SenThomTillis,0.361,2964174789,0.361
SenCoryGardner,0.333,235217558,0.333
JudgeCarter,0.256,18030431,0.256
MarthaMcSallyAZ,0.183,482450423,0.183
RepAOC,0.183,1079104563280527360,0.183
Castro4Congress,0.656,323440720,0.656
WydenPress,0.656,292495654,0.656
SecSebelius,0.581,1023020557,0.581
StenyHoyer,0.563,266719387,0.563
BrianKempGA,0.563,47437206,0.563
DonBeyerVA,0.5,2319503065,0.5
MorganGriffith,0.344,130714799,0.344
WisconsinMC,0.464,112291006,0.464
FlChamber,0.483,50702694,0.483
SharronAngle,0.375,45528439,0.375
ISAACforTexas,0.358,46278119,0.358
other98,0.292,124234862,0.292
ProgressTX,0.175,245347370,0.175
ChairmanEdCox,0.8,3364353053,0.8
SpeakerStraus,0.75,18772406,0.75
gordongee,0.6,24164958,0.6
JonErpenbach,0.45,38470841,0.45
fortforatlanta,0.38,2317842607,0.38
MacIverWisc,0.36,21327536,0.36
PatriotMajority,0.33,66714280,0.33
markzaccaria,0.3,107551743,0.3
NJDSC,0.2,159124223,0.2
AmFutureFund,0.15,14513239,0.15
JeffreyBrandes,0.813,148305299,0.813
PPSConnect,0.813,403012191,0.813
JeffKottkamp,0.625,56910690,0.625
OurOregon,0.563,239666465,0.563
LarsLarsonShow,0.5,26808497,0.5
backtobasicspac,0.313,161402626,0.313
TXRightToLife,0.25,104893909,0.25
ChristineOD,0.2,40745568,0.2
FuturePAC_OR,0.163,755204234853818368,0.163
AmerComm,0.1,552744336,0.1
AGBecerra,0.833,133832049,0.833
janschakowsky,0.833,24195214,0.833
SenatorHick,0.75,1318728336923787264,0.75
VoteForBrigid,0.75,1382785230,0.75
CuellarCampaign,0.667,1239664741,0.667
RepTedLieu,0.667,3044993235,0.667
JasonSmithMO,0.667,26653478,0.667
SenatorTester,0.667,515822213,0.667
Yost4Ohio,0.667,583804113,0.667
ChrisCoonsforDE,0.583,823302838524739584,0.583
MarioDBCamp,0.583,374816353,0.583
TomLeppert,0.583,123974480,0.583
foxxforcongress,0.55,61608485,0.55
BeraForCongress,0.5,43986986,0.5
SenSusanCollins,0.5,13529632,0.5
RepGaramendi,0.5,88806753,0.5
RepKirkpatrick,0.5,1081240074946252800,0.5
MaryLandrieu,0.5,944917346,0.5
GovernorVA,0.5,104198706,0.5
SenatorBegich,0.467,83901492,0.467
sandyforsenate,0.467,293582372,0.467
SeanCasten,0.417,66804351,0.417
RepComstock,0.417,2933760046,0.417
PatRoberts,0.417,586730005,0.417
MikeTurnerOH,0.417,380498919,0.417
AnnLWagner,0.417,219010139,0.417
TedYoho,0.417,274164368,0.417
johnthune,0.383,26533227,0.383
ClyburnSC06,0.333,2389877058,0.333
CollinsforGA,0.333,343358379,0.333
DanCrenshawTX,0.333,930552552302792704,0.333
DavidCCrowley,0.333,3438774495,0.333
GeorgeHolding,0.333,334245076,0.333
RobertPittenger,0.333,497094511,0.333
TomTiffanyWI,0.3,3389296557,0.3
MattBevin,0.217,1404269089,0.217
ElectSheriGallo,0.217,794403041759768576,0.217
sjl4hrc,0.167,4002888226,0.167
JohnsonLeads,0.167,81207735,0.167
tomkean,0.167,78033328,0.167
LoisFrankel,0.133,349296252,0.133
SenBillCassidy,0.05,1017500185356853248,0.05
repdarrellissa,0.0,63650107,0.0
DaveJoyceOH14,1.0,727242919,1.0
CarolynBMaloney,1.0,119250381,1.0
AssociatedPress,1.0,49304503,1.0
iamsamb,0.875,102581496,0.875
JohnBelEdwards,0.875,1217037967,0.875
spmaloney,0.875,26283468,0.875
ScottPetersSD,0.875,292594517,0.875
NeeraTanden46,0.875,1396846777173676032,0.875
KathyCastorFL,0.75,756123897783808000,0.75
CarolMillerWV,0.75,841994444,0.75
IAGovernor,0.75,851808935397011456,0.75
EugeneKRobinson,0.75,2984869245,0.75
MarkUdall2014,0.75,1287334873,0.75
barrassoforwyo,0.625,499268312,0.625
KateBrownForOR,0.625,415117361,0.625
DeGette5280,0.625,952540201,0.625
TedDeutch,0.625,65541270,0.625
Lizzie4Congress,0.625,857009033882083328,0.625
MarkwayneMullin,0.625,366304362,0.625
JerryNadler,0.625,408816873,0.625
ORDOJ,0.625,1009663466,0.625
Schneider4IL10,0.625,278005891,0.625
TinaSmithMN,0.625,47724293,0.625
SpanbergerVA07,0.625,882958562296819712,0.625
genebsperling,0.625,3882727697,0.625
Troy_Balderson,0.5,603083228,0.5
JoyceBeatty,0.5,582070020,0.5
stevebullockmt,0.5,1235630338875052032,0.5
valdemings,0.5,3404875323,0.5
tndesjarlais,0.5,27775884,0.5
RepKManning,0.5,1337115670161608704,0.5
Donald_McEachin,0.5,459051498,0.5
TeamCMR,0.5,130733698,0.5
SenGaryPeters,0.5,236511574,0.5
AdamSchiff,0.5,133028836,0.5
RepDMP,0.5,1080941062028447744,0.5
SecRaimondo,0.656,1364614306256412672,0.656
SecFudge,0.6,1369343440534855680,0.6
VoteMarsha,0.325,63150856,0.325
SecBecerra,0.833,1372581976117481472,0.833
MaloneyforNY,0.875,1002547959865708544,0.875
